Title,Date,Rating,Comments
FORD V FERRARI,30 December 2019,1/10,"This flick has so many flaws. Zero heart. It's difficult to care for any characters, especially Ford II, he's portrayed as a hollow man so when the actor does a poor job, the result is a bad movie. The film correctly illustrates all the reasons United States is hated by nearly every nation, corporate greed. Foul language omission makes it an ok kids movie. Adults will walk away feeling empty."
FORD V FERRARI,27 November 2019,9/10,Great true story. Great acting from all concerned. Great direction. Highly recommend you go see this on the big screen! I will be happy to pay to see movies in theatres if they are of this quality. Well done all concerned! The only reason I didnt give this a 10 out of 10 is because I associate 10s as being from studio shills etc rather than fans and disregard them as a matter of course. Same as I disregard 1s and 2s as a rule. Do yourself a favour and go see this movie on the big screen.
FORD V FERRARI,7 January 2020,10/10,"This is a great and hystorically accurate movie which stands out along with performances of matt damon and christian bale at best.sound effects,visiuals and dialogues are spot on.cinematography and direction are winner too.one of my fav. Movie of 2019"
FORD V FERRARI,23 December 2019,10/10,Definitely a must see. Doesnt matter if you like cars or not. The plot is very dramatic and climatic. Easily one of the top 5 movies this year!
FORD V FERRARI,4 April 2020,9/10,"What exactly did Enzo Ferrari's purple ink pen circle?
For Car Lovers, the most anticipated movie of 2019 is ""Ford V Ferrari."".Of course, ""Speed Car King"" as a commercial film, while restoring history, there are also deductive elements in it.Why did Ford buy Ferrari?
Ford and Ferrari, in the 1960s, when cars were not highly globalized, were simply two car companies that could not compete.One is the American overlord who pushes automobile production into the modern process, the other is the Apennine overlord who is immersed in automobile racing.
The two are on different continents and are not competitors in the same field, and their situations are even more different.1960-1970 was the golden decade age of explosive growth for Ford and all American car companies.During that decade, the annual production of individual models under Ford's main brand increased from 300,000 units to nearly 800,000 units. For Ford, which is aimed at the general audience, they have enough capital to do some things in circles.
Ferrari in the 1960s was in dire Straits, facing a situation that could not be uncovered at any time.Racing is a very expensive sport, a team behind the big boss to inject capital, the racing department needs to rely on car companies to obtain funds.At that time, Ferrari was like a single ""Iron Han Han"", no matter when and when, sports cars were only owned by minority groups.By selling sports cars, or selling racing cars to independent teams to feed the entire R & D team to form a closed-loop, this road is becoming narrower and narrower by Ferrari.Until 1963, Enzo Ferrari sat at the same negotiating table as Henry Ford II.
In the case of Ford, their purpose was clear - to move into the European car market.At that time, Europe was an incremental market for American automobile companies, but there was a very embarrassing problem in front of them:At least in the field of automobiles, Americans have no sense of superiority in European land.Why was the deal called off at the last second?
Ford wants to buy Ferrari, and Ferrari also needs to find a ""golden master dad"" as a backer. This seems to be a good deal for you. It should be smooth sailing. What exactly caused the transaction to crash?Of course, it is not because there is a ""mole."".
Ferrari's private secretary, Franco Gozzi, wrote in an Italian car magazine about Ford's acquisition of Ferrari.He referred to the clause that angered Ferrari the most and led him to walk out of the meeting - ""each item was over 450 million lire (about $257,000 at the time) of the team's budget.Enzuo had to apply to Ford for approval.""On the agreement, Enzuo circled the words ""submitted"" and ""acquired"" with his purple ink pen, and wrote ""not acceptable"" next to them.
Enzuo was an unruly man, and it is precisely because of his temper that he has created many popular stories in the history of automobiles.In his view, the rules and regulations given to him by Ford seriously affected his freedom of management of the team, which he had suffered for decades in the field.
According to the description of Ford Department manager Fei Lei, in the process of negotiations between the two sides for nearly a month, there are also other factors of discord.Enzuo, for example, has been critical of Shelby's relationship with Ford, and his bid to enter the Indy 500 has been thwarted by Ford."
FORD V FERRARI,30 December 2019,10/10,But the movie was fantastic... loved everything about it.Excellent work.Thumbs up.
FORD V FERRARI,24 November 2019,6/10,"Ford v Ferrari is a movie with a great Christian Bale performance, and it tries to tell the interesting tale of the events leading up to Ford's incredible win at Le Man's. The way they choose to show this had a few great scenes, but ultimately was not as interesting as it could be in documentary form. The best example I can think of is the difference between Man on Wire vs. The Walk. Documentary is just the better format to tell this interesting story."
FORD V FERRARI,14 November 2019,9/10,"This is one of this year's best, from the cast's performance, the story, and the cinematography. It has good visuals feeling that you are really in the 60s. Bale and Damon's acting were commendable. I really did not expect to love this one a lot because I'm mainly not a fan of action movies. I expect this to be at least nominated for Oscars."
FORD V FERRARI,2 June 2021,8/10,"Thankfully, this film has so much more to offer than CG racing scenes, as I have very little interest in cars. This could strangely be one of the best I've seen Bale in, and his chemistry with Matt Damon really carried the film from the start. Americanisms aside, I really enjoyed the aforementioned chemistry between the two leads, the philosophical themes explored through Bale's role as the late Ken Miles, and the lighthearted moments sprinkled throughout the story. Thankfully I was able to rely on the characters to make me care about any scene with a car in it, I did not expect to enjoy this as much as I did."
FORD V FERRARI,30 November 2019,7/10,"""Ford V Ferrari"" Review
(7.5/10)Between its thrilling racing sequences and underlying commentary, Ford v Ferrari makes for a somewhat entertaining spin on the traditional sports biography.
On paper, a movie about the Ford company's efforts to defeat its rival Ferrari at the 1966 24 Hours of Le Mans probably only sounds interesting to either racing enthusiasts and/or anyone who actually knows what a 24 Hours of Le Mans even is. Thankfully, the final film, Ford v Ferrari transcends its biographical trappings to deliver an enjoyable viewing experience for gearheads and race-car novices alike. And with director James Mangold calling the shots, the biopic is mostly successful in getting at the heart of what makes this story interesting - namely, the struggle between commercialism and creative integrity.
At its core, the Ford v Ferrari script credited to Jason Keller and Jez and John-Henry Butterworth is part American corporate myth and part real-life story about a ragtag group of artists in their profession who're trying to stay true to their vision while working for a company that's far more concerned about public image and selling their products to the masses. Of the two, the latter element is more compelling than the former and gives the film a beating heart, even when it's all too apparent where the story is going next.
Ford v Ferrari knows what matters most are the people who come along for the journey. In this case, Damon and Bale have excellent chemistry as Shelby and Miles, and their dynamic gives the film much of its flavor, whether they're bonding over their shared passion for racing or coming to blows in what's typically a very funny fashion. Their personalities are well-complimented by those of Ford's business suits, with Letts and Bernthal doing excellent work as always and Josh Lucas bringing on the smarm as the Ford executive Leo Beebe (who proves to be the biggest thorn in Shelby and Miles' side).
The race-car sequences and recreation of the 1966 24 Hours of Le Mans are the primary attractions as much as anything else here, and Ford v Ferrari very much delivers the goods in this regard. Mangold and his DP Phedon Papamichael shoot these scenes with a steady hand, allowing viewers to actually see everything that's happening while still experiencing the sheer exhilaration that comes with being a body that's ""moving through space and time"".
Trouble is, it's all so very predictable. Miles loses his seat, but you don't think for a second that he won't win it back. Miles is losing the race, but you don't for a second think he won't pull it back. What these men achieved, in such a short space of time, was nothing short of miraculous. But that doesn't necessarily translate into an engaging story, and for much of its punishing run-time, Ford v Ferrari fails to get out of third gear. Like a race car without an engine, Ford v Ferrari looks good on the surface, but fails to motor for its 150-minutes. There's fun to be had watching the Ford executives clash, and the driving scenes are shot with real artistry and skill, but they're interspersed with scenes of true inertia. So while Le Mans might be the most exciting race on the planet, a film about that race is a very different proposition, with Ford v Ferrari lacking urgency and thrills, and instead simply chugging along in underwhelming fashion."
FORD V FERRARI,12 February 2020,5/10,"Efficient and well made... and that's it. A simple and straight story with another ""American Hero"" (maybe a couple of heros) and a lot of simplistic and a bit silly stereotypes. A bit childishly from my point of view, but ok if you are looking for a simple and easy to understand pic."
FORD V FERRARI,2 May 2020,10/10,"The immersion of this movie in the racing scenes was stunning, incredible, extraordinary. I sensed Ken Mile's (Christian Bale) desire to obliterate all records and set himself as a Legend in Le Mans. Rarely do movies submerge me into a state of mind that gives me psychosomatic experiences. Those races are large portion of the movie and just like for the pilots we feel their relativity vicariously. The movie is a concerning two hours and thirty minutes, but in no point, in the entire movie, does it get dull, boring, redundant. We get a story-telling that is passionate, nuanced, idiosyncratic, and moralistic. Kudos to James Mangold.A beautiful highlight of the movie was the shots at the Le Mans. The viewer gets a sense of what Ken Miles is experiencing. We also understand a modicum of both the intuition and knowledge of the pilot as he is attempting to measure and calibrate the reaction times and distances. His son Peter Miles (Noah Jupe) and Mollie Miles (Caitriona Balfe) were an important inclusion in many of those scenes to remind us that despite his relentless desire for success, he was still a multi-dimensional character with decency and compassion, despite his crazy antics.The plot follows a perfect pace to provide us with the necessary details to understand the contention between Ford and Ferrari but also make it short enough to not lose our attention with too many character building or dialogue. We immediately recognize the temperament, character, values, and ambition of both Carroll Shelby (Matt Damon) and Ken Miles as they attempt to circumvent bureaucracy, corporatism, greed, and mediocrity. I would have enjoyed more emotion from both protagonists, but the tone that was set was maybe emulating the real life story of both, even in their character and personality.The movie reaches a resolution that can leave a bittersweet sensation to many, but the process to reach the moral of the story, many of the times can be more turbulent than expected, sometimes is far more complicated than visualized; there were definitely a lot of factors at play in the unfolding. It is refreshing to see that the protagonist, who was undoubtedly, could even be said obsessed with success, ultimately did not care for the plaudits and trophies of Le Mans. One can say that the process of becoming better was the alluring feature in his experience of racing cars."
FORD V FERRARI,14 February 2020,6/10,"As much as i liked this movie for what it is, fictional. based on true events. but this isnt a true story. some of the basic facts are in there but when a movie based on history should be as historical as that history. creative licensing is a stupid way to make any movie.
the time line is out. ford started this project without shelby, shelby came later after ford lost his first two tries at le mans. miles drove in the race the movie said that he had to stay home for.
where are all the other cars? for a hundred million dollar budget, they could have at least used some stock footage to show all the other cars in all the other classes that are involved also.
where was the winner's podium? ford and all others protesting that miles should be awarded first prize.
why was ford and his crony made to be villians? after all, it was his company, his cars and his race. why add the fake conflict?ive seen movies using all the facts from history without distortion. i thoroughly enjoyed them more knowing what i was watching was completely true. and if ive ever enjoyed a movie then later found out the facts were distorted, it ruins the entire experience."
FORD V FERRARI,18 November 2019,9/10,"Saw this with some of my family but not expecting too much as the reviews from the upmarket press weren't too good. But they were wrong, really enjoyed it. Good drama/story and people you cared about. Great driving scenes and witty lines too.
I guess the reason The Guardian didn't like it was that it was about western white men driving planet killing (!) cars. And not an LGBT person in sight!So it seemed real. And because it was a true story there were no silly dramas/twists to try and make it more exciting. The truth, we'll presented, was exciting enough."
FORD V FERRARI,1 June 2021,10/10,"If you like cars, you must watch it.If you like race cars, you definitely must watch it.That's it. The rest, you can get an idea from teaser.I just watched it and want watch it again.P. S: This movie does not need a long review with points, details, and comparison to the real history. It is not a documentary, so just relax and enjoy it. It's worth it!"
FORD V FERRARI,29 November 2019,10/10,Ford vs Ferrari was the best movie for racing to go and see if you like fast cars
FORD V FERRARI,7 December 2019,10/10,Just amazing. Does not get much better than that. Jason Bourne vs batman in the street with wonderbread! Amazin!
FORD V FERRARI,16 February 2020,7/10,"After watching the Best Picture winner, ""Parasite"" in the afternoon, I went back to the theater later that evening to watch this film. My expectations were not so high, and I honestly felt a little fatigued from being awed by the South Korean masterpiece I saw earlier in the day. After watching this film, I felt like I just ate a little too much pizza--it was good but it maybe too long. The story is fairly standard and somewhat uplifting, the performances were pretty good (refreshing to see Christian Bale in a British accent), and the visuals were good. However, I felt the climatic race and ending to be anti-climatic. Maybe it's because I'm not really familiar with racing, I kind of expected something more exhilarating like the Podrace sequence from Star Wars episode 1. Now the last moments of the race and the results were fun to watch-personally the film could've ended there. Now the ending, without spoiling too much felt too obligatory and could've just been cut. Sometimes events could merely be mentioned or even be written in the end credits, that's what the ending in this film was like. Overall, good film but not worth a repeated viewing."
FORD V FERRARI,23 November 2019,9/10,"It is a well crafted movie with every scene and actor well chosen. Christian Bale and Matt Damon were amazing. The movie takes you a part of Carroll Shelby and Ken Miles's life and how their combined passion, ambition, determination and dedication lead them to a success which everyone thought impossible. It's the kind of movie you can watch again and again."
FORD V FERRARI,12 February 2020,8/10,"What's at stake in here is not the fate of the universe, nor even an auto race, but the glorious, endless pursuit of perfection.
Bale delivers as usual one hell of a performance.8/10"
FORD V FERRARI,7 February 2020,8/10,"I'm not a great fan of car racing but director James Mangold's work delivers on all fronts for a thoroughly enjoyable cinematic experience. Besides, it's also a great human interest story. The entire cast performs well but the main 2 actors are ahead of the rest. As always, Christian Bale disappears himself into the character and gives an outstanding performance. Matt Damon gets to show quite a range from confident showman to a rarely seen vulnerability. Cinematography by Phedon Papamichael immerses the viewer into the racing action. The editing is outstanding and also the sound design is excellent - it makes your heart race faster as you hear the roar of the Ford GT 40. Some of the races are simulated by stuntmen. And some are created through computer graphics. But the real and computer graphics footage are indistinguishable because of the camera work and editing.
It's one of the most energetic and memorable films of the year. Mangold is an ace director."
FORD V FERRARI,22 July 2020,3/10,"To long to describe this particular subject, that make it boring just to see a movie promoting a brand, and proof who has it more ""Better"". Pointless but good performance"
FORD V FERRARI,9 May 2020,9/10,"I am old enough to remember back in 1966 when a Ford car won the 24 Hours of Le Mans car race. Henry Ford II (Tracy Letts) had gotten into car racing as part of the company's marketing effort for the Mustang, and Le Mans was considered the ultimate race because the cars were going as fast as 200 miles per hour over a 24 hour period. It took place not on a racetrack but on regular country roads. Ford engages sports car designer and former Le Mans winner Carroll Shelby (Matt Damon), who once drove for Aston-Martin, to build them a car capable of winning the race. Shelby had retired from racing because of a heart condition, so he recruits English car racer Ken Miles (Christian Bale) to be the principal driver of the car, called the GT40. The film is very entertaining, the period details seemed right, and the car race scenes are excellent. It was the Oscar winner in the film editing and sound editing categories and nominated for sound mixing.
The dominant racing car up to that time was Ferrari, and the rivalry between Ford and Enzo Ferrari (Remo Girone) became personal after the latter rudely rejected Ford's merger proposal. Other conflicts are between Shelby and Miles, who are old frenemies, and between the two of them and the top management at Ford, especially Josh Lucas as senior VP Leo Beebe. Lee Iacocca (Jon Bernthal), then vice-president of marketing, does his best to mediate. Damon and Bale are good, but Caitrioni Balfe as Miles's wife Molly is large wasted. Letts turns in the best performance in the film as Ford trying to live up to his grandfather's legacy."
FORD V FERRARI,23 November 2019,7/10,"Disappointed Ferrari was a minor theme in the movie.
Really only Enzo.
Expected character development from both teams.Ferrari racers, car models not even mentioned.
As explained in another review, Ferrari main driver quitting, not shown.
Nothing Ferrari. Just a footnote.The difference between 7000 rpm Ford vs Ferrari 9000 (8 cyl vs 12 cyl) not even mentioned.It is not Ferrari vs Ford.It was about an American company and its directors, about its icon Shelby, about its racers.
Well just one team out of 3.Really really lacking in history and confrontation."
FORD V FERRARI,16 November 2019,10/10,"The best racing sport drama I've ever seen after 'Rush'. Car Maniac's will love this film. I know one or two about regular cars and I've no idea about racing cars but from zero to end, the film was exhilarating and i got to know how 24 hours le mans event goes. Christian Bale and Matt Damon's friendship in movie was funny yet beautiful! Even one liner jokes worked out very well. I specifically want to appreciate Sound Design crew and Director for this movie, boy what a feel they've given to this film! Watch it even if you don't know anything about racing cars, it's explained very detailed in the film."
FORD V FERRARI,18 November 2019,10/10,"As an ex NASCAR driver, I was excited to see this movie, and it didn't disappoint at all!
Truly well done movie, really drew you in and made you feel like part of the story, and Christian Bale's performance was perfect for the part, and really I couldn't think of a better actor for the part...
This movie made me want to race again...!
This is a must see movie...the best of the year in my opinion!"
FORD V FERRARI,4 June 2020,10/10,"Guys this movie will be remembered as one of the best Cult Classics ever in the future.
Watch it especially for Christian Bale.
Matt was awesome as always.
Masterpiece."
FORD V FERRARI,23 August 2020,9/10,"When I first heard about Ford v Ferrari, I thought, who really cares. Ferrari's awesome, Ford sucks. When I think of Ford, I think of pickup trucks, mustangs, and junk stock. When a pickup drives by, kids don't gawk, but when a Ferrari drives by, everyone looks. There's no comparison, so why would I care about a movie about the two?I actually wasn't going to watch it, but my friend saw it and told me I had to check it out. At that time, the movie was already out of the main theaters, so I went down the road to an old B theater to see it on the big screen.I left the theater thinking 3 things:Awesome film.They didn't have to kill Ken.Josh Lucas was utterly annoying.I know enough about screenwriting and Hollywood to understand formatting, structure, and expectations of films. The main thing is there has to be plot points and conflict.In this movie, Ford is the hero, Ferrari is the villain. But the film also makes Leo Beebe out to be a villain and that was useless, pointless, and actually quite annoying.I also hated that they showed Ken's death. I understand his death was during the time frame depicted in the film, but the movie wasn't about Ken Miles, it was about Ford surpassing Ferrari by winning the 24 hours of Le Mans. The movie could have ended with Ford crossing the finish line. For all intents and purposes, that was the end of the film. The movie ended up being just over 2.5 hours long and it didn't need to be that long. The story could have been tighter.I know many will disagree with me. Why nitpick? Well, I gave the film 9 out of 10 stars, but it wasn't perfect. I'm always in search of the perfect film and this movie could have gotten a rating above 9. It might be up there with Shawshank Redemption, but it's not. And I'm sure that's because others agree with me, that it's a really entertaining film, but they really blew Bebee's character up and I think they lost some focus trying to make this film into something more than it was.If they removed everything about Leo Beebe and Ken Miles' death, I think this would go down as a perfect film, because it is a great story, great dialog and IMO it's Matt Damon's best performance. I loved when he took Henry Ford II for a ride. There's so many reasons to watch this film, and I've seen it about a dozen times already, but the last couple times I watched, I turned it off after the son says that's a perfect lap, because after that is everything I hate about this film, how Beebe (allegedly) cheats Miles out of a victory and then Miles dies.While watching Ford v Ferrari, there was a moment when Enzo looked at Ken Miles and gave him a nod. It was a subtle moment that got me thinking, wouldn't it have been great if Ferrari recruited Ken Miles / Shelby, and they kicked Ford's ass? Lol. I always seem to get ideas for other movies while watching one.I'd like to now see this same movie from Ferrari's perspective, because this film wasn't about Ford versus Ferrari. It was all about Ford; there's very little about Ferrari, but everyone hates Enzo and everyone wants Ford to win. It's a biased film. Another reason why reviewers may lower their score."
FORD V FERRARI,21 November 2019,7/10,"Excellent well made movie overall and bale is abnormally amazing delivering an Oscar winning performance but the ending is cruel and unforgiving I can't give away the rest due to spoilers, of course that doesn't take away from how the rest of the film is, overall some serious eyecandy"
FORD V FERRARI,27 October 2021,8/10,"Went into the film expecting a decent story and a time passer but came out absolutely surprised by the entire plot line and construction of the film with the beautiful chemistry between Matt Damon and Christian Bale. The emotional connection this film portrays is exceptional and heartbreaking towards the full context and beautiful throughout the relationships built within the film. Le Mans 66 (Ford v Ferrari) definitely speeds up your heart throughout the entire film before it comes to a big crash, in a good way."
FORD V FERRARI,22 June 2020,9/10,"This was and incredible movie, the to find out it's a true story wow. SAD ending"
FORD V FERRARI,19 January 2020,9/10,"Loved this move.More or less historically aligned, if not entirely accurate.However, great acting, some humour and lots of cars ... from start to finish."
FORD V FERRARI,15 November 2019,6/10,"Ford v Ferrari is clearly comes from a place of heart and a very talented director. The car races in this movie are dramatic, incredibly tense, and very well shot. There's a lot of production value and effort that went into making this film and it shows. The directing was probably the best part, no real issues there. I love James Mangold as well as almost all his films, so I'll always support him and I can't wait to see what else he does. This film was pretty strong from a technical standpoint, the cinematography, the editing, the sound mixing & editing, and the visuals were all great. The acting was pretty great, especially from Christian Bale. I really enjoyed Matt Damon and his performance, as well as the endlessly fun, charming, and believable friendship and dynamic that he shares with Bale. I liked his character and I think he had enough development for what screen time he had, but at the same time his character didn't feel that special or unique, but I did enjoy his character. In terms of acting though I think Matt Damon gets pretty outshined by Christian Bale. That just goes to show that he's one of the best actors working today, he worked on this film coming off of Vice, and if you've seen that movie then you would know that he looks radically different in this film. It's kind of amazing how much and how quickly he can lose and gain weight or a role. He's an actor who can disappear into his characters and he never feels like he's acting, and he can play such a wide range of characters, I mean this guy played Batman for crying out loud. He fully dedicates himself to all of his roles and he's one of my favorite actors who will always have my undying gratitude. In fact this might be his best performance that I've seen from him in a long time. His character is very well developed and the vulnerability on display is captivating to say the least. The film is very fast paced for the most part and it was pretty fun to watch. It got a little boring at times, and there were some points in the middle that lost my investment, but other than that this film kept my attention for the majority of the run time. And yeah the story is a little drawn out, not everything in this film was necessary or justified, they could've trimmed off maybe 20 minutes. My last issue is that it's one of those movies that is pretty pandering in terms of it's message and it's story, it's fairly cookie cutter and predictable. And it's one of those films that is just screaming that it's going for Oscars and it's very obvious, it's kind of an Oscar bait movie is what I'm trying to say. But despite some issues I really enjoyed this film, it's not amazing and I'm in no rush to see it again, but I'd recommend seeing this one in theaters, because the sound and visuals are so immersive that it makes this film a very theatrical experience. See it with a good sound set up as well."
FORD V FERRARI,20 November 2019,10/10,"James Mangold somehow turned what could potentially be a boring subject into one of the best films I have watched all year. Utilizing the strength of its cast and buoyed especially by a superb Christian Bale, this film was a true crowd pleaser.It was exciting from start to finish and the race sequences had my adrenaline pumping and had sweat rolling down my forehead. The sounds in this movie is superb and definitely adds to an immersive experience. This film, despite its run time, was never boring. Two hours and thirty minutes simply flew by watching this.A well directed film from start to finish. You have to see it in cinemas for the complete experience."
FORD V FERRARI,17 November 2019,9/10,"I knew something great was going to come out from the pairing of Christian Bale and Matt Damon in Ford V Ferrarri and I was not disappointed at all. It had what I expected: interesting characters, great acting, thrilling car races. What I did not expect was corporate culture, which had Jon Bernthal play Lee Iaccocca. This added element made the movie even more interesting because you know the protagonists are already fighting an impossible task of beating Ferrarri while having to battle corporate interference. It is the battle between doers and the suits. Bale is one of the rare actors who transforms in every role he is and you immediately forget he was once Batman driving an insane Batmobile. The same goes for Damon and Bernthal. You completely forget Damon used to be Jason Bourne and Bernthal the Punisher. The funniest part is Bale's brawl with Damon as shown in the trailer. I like how Ferrarri is not vilified in the movie, since I am a Ferrarri fan. But on the other hand I truly root for Bale's Ken Miles and Damon's Carroll Shelby to win. This is a movie about two guys struggling to do the impossible while battling outside interference from non experts. This situation is very relatable. The race scenes are exhilarating. The soundtrack blends with the action resulting in a pulsepounding thrill ride. I am even more amazed that this is a true story, but am sure that without the capable directing by James Mangold, and the excellent performances brought by Christian Bale and Matt Damon, this movie would definitely fail."
FORD V FERRARI,2 December 2019,8/10,"I saw this at a mystery screening at my local cinema. When I saw the title card, I was dismayed. First because I have no knowledge of, nor interest in, motor racing. Second, because from the start I was expected to root for Ford, when in all sporting events involving an American team and a non-American team, I always root for the latter as a point of principle.
I'm glad I stuck it out, as the film had me sold almost from the start. How true or accurate it is, I neither know nor care, as I was totally involved in the story. Yes there are cliched elements (the interfering company executives etc), and there were rather more dramatic gear-changes than we really needed - but the film revolves around two terrific performances from Matt Damon and, particularly, Christian Bale as a man who not only lives and breathes motor-oil, but regularly showers in the stuff as well.
Petrolheads will love it. Non-petrolheads will love it as well."
FORD V FERRARI,13 March 2020,2/10,Cliche-ridden yawn-fest.The storyline is predictable (even without knowing the true history) and hopelessly inaccurate (if you do).
FORD V FERRARI,20 November 2019,10/10,"Few movies I will pay the expense of going to see because of the high prices of theaters these days. This is one of those films. Just came back and must say. It delivered! Well thought out and told. Matt and Christian as always shined in this project. In my personal opinion Matt & Christian are two of our times greatest actors. They don't play a role, they live it. Go see this feature. You wont be disappointed. it's a great story that needed to be told, and in the hands of those two. Well worth your time. 5 Stars*****!"
FORD V FERRARI,20 January 2020,10/10,"I've always been a fan of Matt Damon and Christian Bale. And as always they did not disappoint! Well written and produced. Top notch performances by all in this piece of work.
A well time spent enjoying. They touched on all the subjects to a point it kept you glued to your seat! I would absolutely recommended watching this film. You will enjoy it very much....!"
FORD V FERRARI,18 November 2019,8/10,"Really good film. Just a really well acted, well written, efficiently executed film with an engaging story and characters you are invested in to match. I was starting to think Hollywood had forgotten how to put out good content. But this is really worth your time. If you're interested in history, cars, racing, and just good storytelling in general you should see this. Christian Bale and Matt Damon are wonderful together, with Bale particularly just knocking it out of the park. Mangold continues his flex on everyone in his rise to auteur level filmmaking, beginning with ""Logan"" and continuing with this movie...Thoroughly enjoyed it."
FORD V FERRARI,18 November 2019,,"This is very well directed movie, filled with top notch acting, and some real gripping car races that I enjoyed and really wanted to love, but kept having this nagging feeling like they were checking off boxes.It has this old fashioned feel to it, which I actually enjoyed but may put off others that may believe it drags (specially at the start). Someone actually starting snoring in the theater.But honestly this is a good enough movie, that at the end of the day, could have been better; the relationships between the masterfully performed characters deserved to have been carve out a little more.Also almost everyone seemed, so it was hard to root for anyone; but I guess that is why the performances were partly so good, we were shown real people. Again just wished more of a deep dive into what made everyone tick.7/10"
FORD V FERRARI,27 January 2020,9/10,"Thoroughly enjoyed it like no other sports film. It was such a nice build up towards the ending. Bale you beauty your attitude throughout the film was kickass and film came out very well with writing, performances and background score. Definitely recommended for moviebuffs for the thrilling and touching experience. Could've caught it in theater that'd have been great but in case if it's going to re-release gonna get my ticket 💯. Gald to see it in Academy nominations it deserves all the way."
FORD V FERRARI,11 May 2021,10/10,The movie is entirely true abd each and every incident happening either it was the race or was it the end everything was true.Acting was really amazing from Chritian Bale I loved him from the dark knight and now my love just increased.
FORD V FERRARI,25 November 2019,7/10,"It was entertaining, but it was not the movie I had hoped for.They skipped the Mark I and Mark II entirely and went straight for the Mark III.Nothing was mentioned about all the hardships and failures - even the crashes resulting in the death of the driver - all during races Ford lost.There was no struggle to overcome. I had hoped for a movie which included the design engineering to resolve the problems.The true story is so much better!"
FORD V FERRARI,5 December 2019,10/10,"WARNING: After watching this movie, ANY sport other than auto-racing will be boring to you. If I was stranded on a desert island with only 10 Blu-ray movies to keep, this would be one of them.Primarily, this is a racing movie. Le Mans is a very special race in the racing world. Using 2 drivers, they race for 24 hours rain or shine. Obviously, the drivers are very important, but the building of an ultra high performance car that is driven 100% flat-out for 24 hours is the engineering challenge.The movie also tells the fascinating story between Ford and Shelby. A partnership that still exist today, you can still buy a Shelby Mustang for about $20,000 above a standard Mustang price. Clearly, the Shelby name means something to people looking for performance.About 60% of the movie is amazing car racing footage. Having said that, one of the most impressive scenes to me is when Shelby gives Henry Ford II a ride in the Ford GT. Fords reaction, is incredible, and an amazing piece of acting. You might look at Henry Ford II as a stuffy Business Man, but deep down inside he is still a ""Car Guy"" and he was blown away with the extreme performance of a 220 mph car.I consider myself a movie buff, I have over 3000 DVDs and Blu-ray's in my collection. I ONLY watch a movie one of two ways. In a movie theater or on a disc from my collection. I never stream. Most of my movies are from the 1930s to 1950s. But, Ford v Ferrari is nothing less than a masterpiece. If it was your job to edit out the boring parts from this movie, you could only eliminate 30 seconds, maximum.A movie like this is best seen on the big screen, the really big screen."
FORD V FERRARI,16 November 2019,9/10,Great movie. A must see for the big screen. The sound is phenomenal.
FORD V FERRARI,9 December 2019,8/10,Great!! Not my 'subject' but I love Christian so much!! Really nail biting moments. Great acting
FORD V FERRARI,13 February 2020,10/10,"Such a great movie
You live with ken miles across the whole race
But a very sad ending"
FORD V FERRARI,21 November 2019,10/10,"Christian Bale born a pom the perfect choice here as the pommy go fast man of the 1960s. Matt Damon has never made a bad movie. Onya Matt. Surprise Henry Ford 11 gets a spot to expand his droll dour personna and does it well. I felt his shattering. The movie score superb I shazamed it. Ford V8 engines have always emitted the ulimate raunchy note by far european engines dont come close. Damon and Bale bounce off each other so well. The visuals pace vibrance super
Suport actors great especially Carrol Shelby main man. Thank you
Patrick
PS read a few purist petrol head reviews where away from escapism the Ford Motor Co was described as Goliath as in David and ...... Well Ferrari did sell out to a Italian socialist Govenment owned Fiat Motor Co
Who was Goliath free enterprise Ford or Italy Government Fiat Motor Co ?
Patrick"
FORD V FERRARI,31 January 2020,9/10,"I was so excited to see this movie and the fact that it never disappointed me, Because I really really enjoyed it from start to finish despite its relatively long duration, I think that watching this movie was one of the best moments in 2019 With the shock factor that was large and multi in all moments of the movie, Speaking of the performers' performance, the performance was very excellent, and this film is the best for Matt Damon for the martian a year 2015, As for Christian Bale, he deserves to run for the Oscars.
Finally, I wonder, why did filmmakers wait until 2019 to produce this movie and tell this legendary story"
FORD V FERRARI,2 August 2020,6/10,"I'm a huge fan of Ford, Ford's racing heritage , the Mustang , the GT40 and the historic 1966 1-2-3 win for USA.Positives :
1) I'm glad that they tried to tell Carroll Shelby, Ken Miles And the rest of the Shelby American team story.2) I love that they did practical effects with cars.That's it everything else is contrived Hollywood ""Based on Actual Events"" Drivel.The biggest fail in this movie is casting.
It's a huge lift because many of these real life people were larger than life personalities;
1) Matt Damon in no way portrays Carroll Shelby with any authenticity
2) John Bernthal as Lee Iacocca, are you kidding?
3) Tracy Letts as Henry Ford II -- 50% Tracy Letts/ 50% Dick Cheney characterization , 0% Henry Ford II -- 100% terrible miscast and poor acting choices
4) Christian Bale , does a good enough job, but doesn't convey the true class, courage or chivalry of Old school/ hard knocks race driver Ken Miles
5) Only highlight Alex Gurney as Dan GurneyYour better off watching Adam Carolla's 2016 documentary film ""The 24 Hour War"" and his 2019 follow on effort ""Shelby American""."
